id_str,retweet_count,favorite_count
841320156043304961,4946,17930
841314665196081154,4171,14363
841077006473256960,4812,20687
840761248237133825,1594,0
840728873075638272,14410,0
840698636975636481,2,157
840696689258311684,876,11170
840632337062862849,1594,8202
840370681858686976,4101,14921
840268004936019968,5125,17449
839990271299457024,2031,12191
839549326359670784,6964,24954
839239871831150596,5841,24638
838952994649550848,3609,17910
838921590096166913,1824,10142
838916489579200512,31,0
838831947270979586,9851,0
838561493054533637,1212,9943
838476387338051585,4290,20496
838201503651401729,9046,0
838150277551247360,297,1541
838085839343206401,0,128
838083903487373313,2805,16063
837820167694528512,7053,31024
837482249356513284,398,3501
837471256429613056,2037,11662
837110210464448512,2147,14655
836989968035819520,2080,11635
836753516572119041,4190,17660
836677758902222849,1989,11530
836648853927522308,500,0
836397794269200385,24691,0
836380477523124226,2706,13502
836260088725786625,3919,19388
836001077879255040,3837,17433
835685285446955009,7298,0
835574547218894849,3249,16208
835536468978302976,1523,0
835309094223372289,18830,0
835297930240217089,2695,14991
835264098648616962,1523,7036
835246439529840640,63,1947
835172783151792128,5218,23921
835152434251116546,2713,20440
834931633769889797,1466,9838
834786237630337024,5025,19637
834574053763584002,2276,12484
834477809192075265,9597,0
834458053273591808,1519,8804
834209720923721728,4263,18768
834167344700198914,3305,14417
834089966724603904,1936,9197
834086379323871233,2002,11902
833863086058651648,2169,12284
833826103416520705,3436,16663
833732339549220864,199,0
833722901757046785,2953,19109
833479644947025920,1853,13652
833124694597443584,4367,18471
832998151111966721,1964,12107
832769181346996225,37,0
832757312314028032,3264,15408
832682457690300417,2617,10866
832645525019123713,477,2656
832636094638288896,2510,14487
832397543355072512,2003,10918
832369877331693569,2863,15625
832273440279240704,2104,10343
832215909146226688,5622,0
832215726631055365,8450,0
832088576586297345,2,56
832040443403784192,8670,0
832032802820481025,4215,16246
831939777352105988,5563,21901
831926988323639298,34,309
831911600680497154,5873,25186
831670449226514432,1665,9518
831650051525054464,1763,6496
831552930092285952,2121,8244
831322785565769729,1413,8506
831315979191906304,1019,6023
831309418084069378,2220,10787
831262627380748289,1859,10859
830956169170665475,1360,7310
830583320585068544,15177,60946
830173239259324417,5152,0
830097400375152640,2645,8918
829878982036299777,4521,0
829861396166877184,1766,11189
829501995190984704,9597,29131
829449946868879360,1830,9625
829141528400556032,6664,22341
829011960981237760,14740,48618
828801551087042563,3105,0
828770345708580865,5296,23421
828708714936930305,10142,33376
828650029636317184,1214,8697
828409743546925057,1062,5879
828408677031882754,1165,7073
828381636999917570,2026,11533
828376505180889089,974,6811
828372645993398273,2675,11552
828361771580813312,163,2019
828046555563323392,2614,10776
828011680017821696,1960,9490
827933404142436356,4745,18384
827653905312006145,2746,14166
827600520311402496,856,6880
827324948884643840,2761,14570
827199976799354881,2023,9741
826958653328592898,4521,19779
826848821049180160,9184,33161
826615380357632002,3619,0
826598799820865537,225,4722
826598365270007810,2147,9213
826476773533745153,3835,16914
826240494070030336,2382,12172
826204788643753985,844,4478
826115272272650244,2822,14364
825876512159186944,1712,9657
825829644528148480,2295,11708
825535076884762624,15990,52206
825147591692263424,4114,16799
825120256414846976,1156,0
825026590719483904,1156,5755
824796380199809024,5017,0
824775126675836928,3219,13707
824663926340194305,1622,9684
824325613288833024,9676,10891
824297048279236611,3514,13889
824025158776213504,546,4413
823939628516474880,2488,9772
823719002937630720,10176,0
823699002998870016,2282,12735
823581115634085888,2403,11917
823333489516937216,21,644
823322678127919110,3657,14438
823269594223824897,9079,0
